CBC_001,CBC_002,CBC_003,CBC_004,CBC_005,CBC_006,CBC_007,CBC_008,CBC_009,CBC_010,CBC_011,CBC_012,CBC_013,CBC_014,CBC_015,CBC_016,CBC_017,CBC_018,CBC_019,CBC_020,CBC_021,CBC_022,CBC_023,CBC_024,CBC_025,CBC_026,CBC_027,CBC_028,CBC_029,CBC_030,CBC_031,CBC_032,CBC_033,CBC_034,CBC_035,CBC_036,electrolytes_001,electrolytes_002,electrolytes_003,electrolytes_004,electrolytes_005,electrolytes_006,electrolytes_007,flowcytometry_001,flowcytometry_002,flowcytometry_003,flowcytometry_004,flowcytometry_005,flowcytometry_006,flowcytometry_007,flowcytometry_008,flowcytometry_009,flowcytometry_010,flowcytometry_011,flowcytometry_014,flowcytometry_015,flowcytometry_016,flowcytometry_017,flowcytometry_018,flowcytometry_019,flowcytometry_020,flowcytometry_021,flowcytometry_022,flowcytometry_023,flowcytometry_025,flowcytometry_026,flowcytometry_027,flowcytometry_028,flowcytometry_031,flowcytometry_032,flowcytometry_033,flowcytometry_034,flowcytometry_035,flowcytometry_036,flowcytometry_037,flowcytometry_038,flowcytometry_039,flowcytometry_040,flowcytometry_041,antibodies_001,antibodies_002,antibodies_003,antibodies_004,antibodies_005,antibodies_006,antibodies_007,antibodies_008,antibodies_009,antibodies_010,antibodies_011,biochemistry_001,biochemistry_002,biochemistry_003,biochemistry_004,biochemistry_005,biochemistry_006,biochemistry_007,biochemistry_008,biochemistry_009,biochemistry_010,biochemistry_011,biochemistry_012,biochemistry_013,biochemistry_014,biochemistry_015,biochemistry_016,biochemistry_017,biochemistry_018,biochemistry_019,biochemistry_020,biochemistry_021,biochemistry_022,biochemistry_023,biochemistry_024,biochemistry_025,biochemistry_026,biochemistry_027,biochemistry_028,biochemistry_029,biochemistry_030,biochemistry_031,biochemistry_032,biochemistry_033,biochemistry_034,biochemistry_035,biochemistry_036,biochemistry_037,biochemistry_038,biochemistry_039,biochemistry_040,biochemistry_041,biochemistry_042,biochemistry_043,biochemistry_044,cytokines_001,cytokines_002,cytokines_003,cytokines_004,cytokines_005,cytokines_006,cytokines_007,cytokines_008,cytokines_009,cytokines_010,cytokines_011,cytokines_012,cytokines_013,cytokines_014,cytokines_015,cytokines_016,cytokines_017,cytokines_018,vitalsigns_001,vitalsigns_002,vitalsigns_003,vitalsigns_004,vitalsigns_005,vitalsigns_006,vitalsigns_007
0.927305368,1.25155504,0.829231324,1.150058257,1.018371039,0.951990768,1.103189413,1,0.916678511,0.968822881,0.971252798,0.965933903,0.975669858,0.95667685,0.947301023,0.970937144,0.970448463,1.002995928,0.960166035,0.975961595,0.955359131,0.933589036,0.960658535,0.949737689,0.959895652,0.959764277,1.016250225,1.007153877,0.780794835,1.068968435,0.97208779,1.24459905,0.967855503,0.973429186,0.963587786,0.967654897,0.996758674,1.115758475,0.940318687,0.940506279,0.93958261,1.041279031,1.101418818,0.573109984,1.16012085,1,1,1.385853131,1.14258538,0.281022178,1.534605381,2.755065062,0.526918072,2.371438956,1.170415526,1.126332449,0.092775593,0.768592923,1.467605339,1.480023194,0.6831255,0.694766127,0.848777836,0.671134808,1,1,1,1,0.072567883,0.796701956,0.134209727,0.063059339,0.313526224,0.133607974,1,0.099391181,1,1.739061913,1.669598554,1.249056518,4.304582416,0.241426936,0.814578537,1,0.542223903,4.197647363,2.145671905,2.664637883,2.953312273,0.392597458,1,1.3256732,1.858620072,1.273317918,0.954972478,1.21768598,1.197349913,0.897363264,0.967931964,0.612149731,0.639774553,1.219301977,1.433093992,1.030650005,0.632452909,1.131898096,1.466207676,1.046605275,1.20107892,1.038088145,1.229162205,0.852341514,0.740397634,0.774984791,1.251577599,1.077088562,1.071158633,0.831512593,0.860681454,0.679839977,2.358370928,0.792288953,0.319792573,1.357155266,2.464925687,4.978604434,0.742626859,1,0.432969337,0.547018353,2.925343065,1.057619018,1,1,1.307301978,1.102409511,1.192329445,1.127529355,0.080627798,0.803983822,4.388432327,2.308520198,1.700395747,0.949792128,3.226481797,1,1.129748717,0.3613401,2.716618334,0.377829226,1.358281078,2.927109098,0.635667184,0.915405681,0.752211147,1.23925405,1.291978595,1.147061764,1
0.92692622,1.246336128,0.834904616,1.147844285,1.015261995,0.953850625,1.098087679,1,0.914956948,0.966646464,0.968668954,0.961750228,0.970709099,0.956527756,0.945216619,0.96955884,0.969408522,1.002010753,0.96360135,0.97409804,0.959776116,0.937820876,0.958740899,0.953618902,0.956758542,0.956421733,1.011579947,1.002549194,0.784595939,1.06514649,0.968181395,1.234140774,0.965556635,0.969379386,0.96167724,0.965502553,0.965335976,1.125292776,0.952379619,0.963756869,0.942892803,1.041976069,1.083582836,0.588402688,1.119466026,1,1,1.388028437,1.14251428,0.272551153,1.454929749,2.699926231,0.533420256,2.330643049,1.099920494,1.064834646,0.095896888,0.775301204,1.405651259,1.41940292,0.666671463,0.692913433,0.814813858,0.674393334,1,1,1,1,0.07649813,0.783280405,0.136712621,0.066366756,0.290419317,0.134747811,1,0.10167895,1,1.671333402,1.631839187,1.23558915,4.114557114,0.246014327,0.838149891,1,0.540520074,4.058878411,2.066997422,2.492477839,2.901256521,0.381718668,1,1.314173794,1.782649107,1.266000843,0.95882202,1.208633791,1.213839717,0.906178674,0.967596941,0.621755476,0.650857529,1.211131202,1.422404807,1.029572436,0.642860222,1.143919005,1.437530544,1.044187402,1.204645044,1.03841726,1.207636463,0.854990604,0.747411164,0.792774262,1.246202513,1.076453429,1.073137219,0.856885659,0.86292082,0.74101617,2.3274332,0.748067429,0.339343075,1.309532451,2.236235722,4.315111263,0.740909429,1.052319134,0.408601778,0.553728216,2.81385067,1.057905772,1,1,1.272866554,1.086166245,1.185683274,1.110616505,0.083508932,0.815056884,3.670554743,2.01162566,1.637592773,0.916424969,2.749738619,0.873350357,1.074644952,0.363635038,2.560531299,0.356780847,1.308133067,2.757597305,0.628520028,0.913760942,0.755846234,1.228218453,1.283823684,1.132795833,0.970065598
0.926538874,1.240965469,0.840601755,1.145572537,1.012080299,0.955779652,1.092834528,1,0.913178026,0.964317088,0.965895121,0.957317717,0.965496465,0.956369003,0.942978084,0.9680738,0.968299126,1.000959743,0.967102936,0.972146207,0.964282918,0.942120708,0.956743358,0.957614619,0.953425258,0.952860488,1.006793019,0.997833826,0.788608215,1.061238722,0.964037054,1.225870447,0.963093465,0.965103814,0.959627744,0.963200549,0.935832164,1.135087962,0.964287924,0.987540577,0.946371489,1.042660023,1.066641987,0.603554102,1.080586444,1,1,1.390310484,1.142440352,0.300416693,1.380996768,2.643197287,0.540004481,2.28869517,1.029109192,1.002314538,0.099235517,0.782148936,1.341188897,1.356590675,0.649730671,0.690914493,0.780008656,0.677781649,1,1,1,1,0.080878475,0.767979387,0.139310642,0.070040321,0.270484583,0.135907265,1,0.104074519,1,1.599512825,1.590781686,1.222121781,3.921670029,0.250779425,0.86046543,1,0.538826919,3.920109459,1.988803863,2.329697048,2.849200769,0.37142652,1,1.302284116,1.710662387,1.258354783,0.962883586,1.199663948,1.2297322,0.915126435,0.967251204,0.631193959,0.661799336,1.202713898,1.411296306,1.028471482,0.65296485,1.156042836,1.411016383,1.041633299,1.2081663,1.038734316,1.18672533,0.857771045,0.754251914,0.810734765,1.240668715,1.075799487,1.075189051,0.881560875,0.865146645,0.801673231,2.295024563,0.713403524,0.359858633,1.261456268,2.042480672,3.620804596,0.739199925,1.112037793,0.593976828,0.560604732,2.709178118,1.058179559,1,1,1.23818225,1.069001504,1.178579861,1.094160908,0.086603604,0.82696856,3.107228956,1.798051598,1.573678046,0.884513566,2.379287161,0.849839877,1.018648526,0.365997562,2.406142665,0.337953873,1.256616787,2.588747841,0.620988423,0.912072085,0.759538705,1.217159302,1.275431866,1.118502587,0.899402185
0.926140295,1.235427315,0.846285459,1.143232916,1.008827102,0.957764615,1.087438566,1,0.911340601,0.96182097,0.962913502,0.952617288,0.96002822,0.956209478,0.940587639,0.966472387,0.96711919,0.999857605,0.970677011,0.970111427,0.968883376,0.946485802,0.954666167,0.961723842,0.949885276,0.949066774,1.001886783,0.993004222,0.792802747,1.05727407,0.959637826,1.219148288,0.960452967,0.960586154,0.957429867,0.960737724,0.908065729,1.145174384,0.976094616,1.01179608,0.95003359,1.0433237,1.050513311,0.618566173,1.043368312,1,1,1.392707328,1.142363424,0.34051267,1.312207179,2.584808441,0.546672311,2.245545829,0.957979486,0.93874642,0.102814999,0.789140514,1.27406278,1.29146538,0.632281203,0.68875128,0.744330582,0.681307665,1,1,1,1,0.085790934,0.750374396,0.14200932,0.074144398,0.253110754,0.137086845,1,0.106585692,1,1.523217775,1.545974197,1.208654413,3.725856024,0.255732761,0.88162291,1,0.537144338,3.781340507,1.911086831,2.175549364,2.797145017,0.407842107,1.02819581,1.290030844,1.642562928,1.250399372,0.967152414,1.190780375,1.245038827,0.924176426,0.966886837,0.640450077,0.672578872,1.194067968,1.399790508,1.027340531,0.662799284,1.168274528,1.386494452,1.038933134,1.211561163,1.039024178,1.166403283,0.860656686,0.760926192,0.82888116,1.23497991,1.075140021,1.077333988,0.905576008,0.867443983,0.861360024,2.261198438,0.720779329,0.381398407,1.213010195,1.876378141,3.034436372,0.737287483,1.171461338,0.902148448,0.567482923,2.611615095,1.05844124,1,1,1.203289184,1.050811873,1.17097034,1.078159057,0.089936467,0.839816654,2.653395255,1.637039467,1.50862178,0.853964686,2.083145453,0.834758446,0.961737571,0.368430702,2.25342486,0.380361402,1.203675465,2.420556831,0.613472775,0.910363459,0.763301481,1.206072919,1.266795142,1.104322946,0.838308132
0.925720169,1.229714031,0.851887941,1.140809668,1.005504541,0.959783584,1.081931947,1.018718076,0.909440148,0.959145486,0.959707178,0.947631322,0.954307312,0.956068235,0.93805939,0.964746691,0.965872109,0.998731679,0.974327992,0.968005421,0.973582025,0.950906239,0.952514826,0.965944589,0.946133797,0.945032003,0.996859844,0.988057224,0.797116879,1.053304281,0.954969782,1.213540361,0.957625255,0.955811589,0.955078818,0.958106304,0.905124716,1.155586547,0.987839293,1.036396082,0.953896241,1.043946992,1.03515466,0.633440815,1.00770736,1,1,1.395227853,1.142283311,0.378391838,1.248042297,2.524685756,0.553425347,2.201142656,0.886529225,0.874103717,0.106662371,0.796280517,1.204104315,1.223896871,0.614299796,0.686402676,0.707746385,0.684979952,1,1,1,1,0.091338737,0.729902678,0.144814618,0.078759376,0.237834135,0.13828708,1,0.109221043,1,1.442016664,1.496878377,1.195187044,3.527047967,0.260885715,0.901710196,1,0.573335919,3.276738479,1.833841984,2.02936574,2.745089265,0.531011557,1.074266268,1.277446065,1.57836875,1.242183861,0.971612597,1.181978349,1.259744814,0.933278425,0.966494112,0.649484264,0.683160544,1.185253946,1.387929771,1.026181404,0.672392127,1.180596019,1.363843363,1.036082778,1.214732036,1.039278421,1.146731501,0.86359014,0.767439979,0.847263949,1.229191153,1.074544235,1.079667858,0.928996012,0.869907748,0.919206317,2.226684199,0.727369597,0.403954379,1.164721657,1.73345237,2.55107153,0.733922671,1.228659032,1.168071148,0.573376879,2.522266464,1.058691601,1,1,1.168438551,1.031374593,1.162798624,1.062675624,0.093536122,0.853707079,2.279958679,1.511311602,1.442393119,0.824692888,1.840992643,0.824262121,0.903889497,0.370937673,2.102350908,0.468787074,1.149249143,2.25302043,0.6062544,0.908673415,0.767131677,1.194993413,1.257939292,1.090461022,0.799590597
0.925266007,1.223867666,0.857338364,1.138320245,1.002112145,0.961824508,1.07635968,1.06949652,0.907472159,0.956279673,0.956260272,0.942344312,0.948340482,0.955973823,0.935403743,0.96289098,0.964565644,0.997615044,0.97806228,0.965850524,0.978384816,0.955373169,0.950300963,0.97027785,0.942171642,0.94075265,0.991711705,0.982990223,0.80144511,1.049410659,0.950022063,1.208736585,0.954603943,0.950767323,0.9525754,0.955302309,0.923427783,1.166347122,0.99953809,1.061193659,0.957961922,1.044495393,1.020566416,0.648179908,0.973507862,1,1,1.397881888,1.142199809,0.414233096,1.188050913,2.462750841,0.560265233,2.155430196,0.814756235,0.80835895,0.110808878,0.803573723,1.131130374,1.153745032,0.595761753,0.683843781,0.670221101,0.688807803,1,1,1,1,0.097653661,0.70580196,0.147732983,0.083986988,0.224296609,0.139508518,1,0.111990018,1,1.355420554,1.442847661,1.181719676,3.32517666,0.2662506,0.920806485,1,0.61568145,2.828353055,1.757065031,1.890544523,2.693033513,0.648036106,1.120612329,1.264553036,1.518102021,1.233765764,0.976244853,1.173232521,1.273792026,0.942394469,0.966056083,0.658250415,0.693516946,1.176359756,1.375757516,1.025016776,0.681755715,1.192973055,1.342954942,1.033087553,1.217602505,1.039496183,1.127831485,0.866502236,0.773798011,0.865899527,1.223401687,1.074091286,1.082343965,0.95186203,0.872591523,0.974206635,2.192437406,0.733130974,0.427416979,1.117709826,1.611968484,2.168971537,0.726713196,1.218184244,1.374241223,0.616416577,2.432110367,1.05893136,1,1,1.134058278,1.010404984,1.15400002,1.047789371,0.097435939,0.868707503,1.967854852,1.410811552,1.375168982,0.796717348,1.640095539,0.816599302,0.845372473,0.373521886,1.952929546,0.54906925,1.09351952,2.086562346,0.599653993,0.907029425,0.771022223,1.183943998,1.248914771,1.077067822,0.813104851
0.924767362,1.217947205,0.862580173,1.13579262,0.998650511,0.963887933,1.070763381,1.086743628,0.905431279,0.953214968,0.952558704,0.936744329,0.942136056,0.955962794,0.932627071,0.960902568,0.963213237,0.996546962,0.981902459,0.963681601,0.983314967,0.959894646,0.94804349,0.974729744,0.93800668,0.936231637,0.986443349,0.977801568,0.805643708,1.045700999,0.944787389,1.20450498,0.951387044,0.945443269,0.94992649,0.952326479,0.940672431,1.177471472,1.011192331,1.086013492,0.96222017,1.044925732,1.006760036,0.662785294,0.940681783,1,1,1.400680327,1.1421127,0.448196596,1.131838665,2.398920504,0.567193656,2.108349673,0.742658327,0.741483693,0.115290815,0.811025117,1.054941694,1.080858824,0.576640818,0.681045029,0.631717944,0.692801318,1,1,1,1,0.104906634,0.677013433,0.150771392,0.089957895,0.212217199,0.140751724,1,0.114903042,1,1.262873304,1.383098623,1.168252307,3.120170755,0.29775909,0.938983347,1,0.657764972,2.463453925,1.680751734,1.758543174,2.640977761,0.759364413,1.160287736,1.251389752,1.461754624,1.22520195,0.981040126,1.16450025,1.287089254,0.95150741,0.965546003,0.666716017,0.703646679,1.167471554,1.363303997,1.023895515,0.690895677,1.20537081,1.3237141,1.029961018,1.220112482,1.03967635,1.109822321,0.869325519,0.779999791,0.884832685,1.21772128,1.073866749,1.085497035,0.974192838,0.875509185,1.025482634,2.159309982,0.737944831,0.451558752,1.073832437,1.51120304,1.88090631,0.742293458,1.18197085,1.505987032,0.694816294,2.330346589,1.059161176,1,1,1.100502968,0.987774237,1.144499513,1.033431346,0.101675096,0.884691201,1.705522262,1.33041139,1.308069778,0.770431202,1.474304993,0.811048992,0.787648053,0.376186967,1.80536462,0.621922924,1.037722397,1.923340084,0.593810217,0.905444621,0.774969949,1.172923866,1.239756043,1.064219875,0.825094131
0.924219108,1.212007792,0.867581393,1.133261916,0.995127615,0.965981082,1.065198897,1.072573531,0.903313696,0.949946033,0.948591222,0.930824221,0.935702777,0.956079647,0.929724349,0.958782953,0.961834989,0.995575628,0.985879232,0.961539124,0.988404391,0.964494995,0.945769663,0.979312212,0.933655397,0.931479922,0.981056953,0.972490693,0.80956139,1.042298422,0.939263074,1.200664455,0.947978526,0.939832961,0.947141917,0.949186007,0.956906397,1.188971888,1.022820829,1.110685569,0.966650659,1.045199433,0.993734589,0.677258786,0.909148019,1.161819114,1,1.403635287,1.142021744,0.480426136,1.079059359,2.333106384,0.574212346,2.059838739,0.670233287,0.673448535,0.128613859,0.818639901,0.975321063,1.0050752,0.556909061,0.677971037,0.592198186,0.696971488,1,1,1,1,0.113323439,0.642022014,0.153937407,0.096842761,0.201372365,0.142017288,1,0.117971658,1,1.163739615,1.316672747,1.154784939,2.911956671,0.330833084,0.956305623,1,0.699588911,2.160710069,1.604897905,1.632871182,2.588922009,0.8654025,1.165483894,1.23800812,1.409299052,1.216543296,0.986011219,1.155735228,1.299563547,0.960620431,0.964937329,0.6748647,0.713558866,1.158663457,1.350595013,1.022888297,0.699822311,1.217775376,1.306001338,1.026728127,1.22222735,1.039828183,1.092802512,0.871994102,0.786047653,0.90410202,1.21223338,1.073957884,1.089218218,0.995967695,0.878655823,1.072270457,2.128009186,0.741661057,0.476030963,1.035159344,1.42818715,1.675188486,0.796940288,1.157464954,1.559806869,0.78007779,2.210924601,1.059381657,1,1,1.068073907,0.963435525,1.134209625,1.019488486,0.179008885,0.901439948,1.484326873,1.266670219,1.242650208,0.746241867,1.339155543,0.807215063,0.732443141,0.378936773,1.660030042,0.688044255,0.983462867,1.765849944,0.588740593,0.903932317,0.778956627,1.161927252,1.230498141,1.051947976,0.835795558
0.923622461,1.206092073,0.872335246,1.13076297,0.991558475,0.968118432,1.059721809,1.059281476,0.901120003,0.946471973,0.94435086,0.924582208,0.92905722,0.956384304,0.926693945,0.956539325,0.960459485,0.994760211,0.990027444,0.959471268,0.993689944,0.969202287,0.943515452,0.984043215,0.929144863,0.926518509,0.97555618,0.967058692,0.813069076,1.039335766,0.933452742,1.197067333,0.944390713,0.933934753,0.944236422,0.945897064,0.972164547,1.200857325,1.034453435,1.135068633,0.971241876,1.04528677,0.98147392,0.691554257,0.878831728,1.422439036,1,1.406760276,1.141926681,0.5110512,1.029407834,2.26521454,0.581323078,2.009831201,0.597669649,0.604409135,0.149992191,0.826641829,0.892250768,0.926198489,0.536595138,0.674261211,0.551747323,0.701392577,1,1,1,1,0.12320864,0.598580901,0.157239238,0.104868824,0.19158204,0.143305816,1,0.121208673,1,1.057290425,1.242384613,1.14131757,2.700458507,0.36535679,0.972832195,1,0.74115566,1.905486999,1.529499407,1.513083974,2.536866257,0.966518693,1.170558554,1.224465668,1.360691905,1.207835433,0.991187709,1.146900565,1.311170612,0.969750879,0.96421141,0.682689155,0.723259738,1.150000737,1.337647937,1.022087091,0.708542033,1.230190863,1.289688985,1.023423664,1.22394291,1.03996677,1.076858174,0.87444135,0.791980108,0.923707258,1.207002165,1.074448341,1.093553753,1.017164565,0.882016009,1.113943048,2.099385067,0.744146193,0.500404923,1.003167931,1.358229981,1.534785049,0.857747491,1.146167601,1.542835287,0.867718779,2.072184535,1.059593359,1,1,1.037045175,0.937401055,1.123027706,1.005841659,0.263942611,0.918673898,1.297343263,1.21701767,1.180679508,0.724479269,1.230927919,0.804849142,0.681449522,0.381775408,1.517434434,0.748173473,0.932464292,1.616468199,0.584206821,0.902499124,0.782954004,1.150949093,1.221173277,1.040275835,0.845400829
0.922984582,1.200220873,0.876853693,1.128323758,0.987967404,0.970321303,1.054385843,1.046592514,0.898858468,0.942798038,0.939836668,0.91802173,0.922223184,0.956952179,0.923544425,0.954185222,0.959126344,0.994172152,0.994381209,0.9575296,0.999208518,0.974043558,0.941323492,0.988947344,0.924513822,0.921379672,0.969946853,0.961508926,0.816041503,1.036963845,0.927368619,1.193590093,0.940646866,0.927753431,0.94123525,0.942487609,0.986478953,1.213143629,1.046137018,1.159032226,0.976004526,1.045161542,0.969956677,0.705440635,0.849663739,1.442177749,1,1.410070405,1.141827227,0.540188691,0.982614055,2.195145005,0.588527675,1.958256716,0.526218289,0.535573558,0.173242258,0.836259069,0.8069922,0.844079502,0.516071003,0.667880842,0.511145204,0.706521523,1,1,1,1,0.134983223,0.543209175,0.160685817,0.114345464,0.182699551,0.14461794,1,0.124628339,1,0.942684947,1.158750535,1.127850202,2.485597946,0.401427659,0.988616659,1,0.782467585,1.687410156,1.454552153,1.39877766,2.484810505,1.063047906,1.17551256,1.21082075,1.315872222,1.1991216,0.996612404,1.137969627,1.321884561,0.978921325,0.963360577,0.690182586,0.732748195,1.14153952,1.324465704,1.021602353,0.717049375,1.242634311,1.274641188,1.020091336,1.225282543,1.040113259,1.062069674,0.876601399,0.797861391,0.943652706,1.202107427,1.075433975,1.098532168,1.037762634,0.885577439,1.15009904,2.074526108,0.745289501,0.524214311,0.978529996,1.296990318,1.441032303,0.924135041,1.145148768,1.472201552,0.950415835,1.917457976,1.059796796,1,1,1.007670238,0.909760454,1.110832508,0.992365777,0.357376192,0.936037016,1.139049513,1.179593731,1.124100496,0.705421724,1.146738297,0.803810709,0.636362714,0.384707249,1.378207365,0.803053489,0.886568457,1.47747543,0.579899251,0.901142077,0.786934756,1.139978309,1.211804637,1.029219859,0.854088241
