CBC_001,CBC_002,CBC_003,CBC_004,CBC_005,CBC_006,CBC_007,CBC_008,CBC_009,CBC_010,CBC_011,CBC_012,CBC_013,CBC_014,CBC_015,CBC_016,CBC_017,CBC_018,CBC_019,CBC_020,CBC_021,CBC_022,CBC_023,CBC_024,CBC_025,CBC_026,CBC_027,CBC_028,CBC_029,CBC_030,CBC_031,CBC_032,CBC_033,CBC_034,CBC_035,CBC_036,electrolytes_001,electrolytes_002,electrolytes_003,electrolytes_004,electrolytes_005,electrolytes_006,electrolytes_007,flowcytometry_001,flowcytometry_002,flowcytometry_003,flowcytometry_004,flowcytometry_005,flowcytometry_006,flowcytometry_007,flowcytometry_008,flowcytometry_009,flowcytometry_010,flowcytometry_011,flowcytometry_014,flowcytometry_015,flowcytometry_016,flowcytometry_017,flowcytometry_018,flowcytometry_019,flowcytometry_020,flowcytometry_021,flowcytometry_022,flowcytometry_023,flowcytometry_025,flowcytometry_026,flowcytometry_027,flowcytometry_028,flowcytometry_031,flowcytometry_032,flowcytometry_033,flowcytometry_034,flowcytometry_035,flowcytometry_036,flowcytometry_037,flowcytometry_038,flowcytometry_039,flowcytometry_040,flowcytometry_041,antibodies_001,antibodies_002,antibodies_003,antibodies_004,antibodies_005,antibodies_006,antibodies_007,antibodies_008,antibodies_009,antibodies_010,antibodies_011,biochemistry_001,biochemistry_002,biochemistry_003,biochemistry_004,biochemistry_005,biochemistry_006,biochemistry_007,biochemistry_008,biochemistry_009,biochemistry_010,biochemistry_011,biochemistry_012,biochemistry_013,biochemistry_014,biochemistry_015,biochemistry_016,biochemistry_017,biochemistry_018,biochemistry_019,biochemistry_020,biochemistry_021,biochemistry_022,biochemistry_023,biochemistry_024,biochemistry_025,biochemistry_026,biochemistry_027,biochemistry_028,biochemistry_029,biochemistry_030,biochemistry_031,biochemistry_032,biochemistry_033,biochemistry_034,biochemistry_035,biochemistry_036,biochemistry_037,biochemistry_038,biochemistry_039,biochemistry_040,biochemistry_041,biochemistry_042,biochemistry_043,biochemistry_044,cytokines_001,cytokines_002,cytokines_003,cytokines_004,cytokines_005,cytokines_006,cytokines_007,cytokines_008,cytokines_009,cytokines_010,cytokines_011,cytokines_012,cytokines_013,cytokines_014,cytokines_015,cytokines_016,cytokines_017,cytokines_018,vitalsigns_001,vitalsigns_002,vitalsigns_003,vitalsigns_004,vitalsigns_005,vitalsigns_006,vitalsigns_007
1.326215316,1.09323977,0.936557445,1.096494005,1.005555019,0.907611796,0.940931856,0.765882798,2.182540962,1,1,1,0.91914803,0.942185255,1.071589525,1,1.068158809,0.995394,0.953315174,1.110888235,1.152560697,0.922951882,1.061914216,2.226270676,1,0.992555161,1,1,1.666496521,1.001939963,1,1,1,1,1,1,1.312405949,1.082240949,1.062970514,0.678071794,1.070632351,1.038577764,0.884082287,2.340993086,1.060842494,0.91966865,1.025676244,1.198374872,1.37330352,2.974462261,0.295503921,0.190925392,0.356830253,1.13900523,1.489200473,1,1,0.911286539,1,1,1,1,1.101764037,1,0.090909091,0.979354807,0.090909091,0.090909091,11,1,11,1,0.392726923,11,1,1,10.55518519,1,1,0.661121943,0.231576042,1.326531127,0.96442078,0.975293446,1.971790638,0.429338082,0.307513784,0.111617837,0.732187535,0.197325815,1.047046294,0.54021708,0.941276933,0.803889254,1.245753047,0.781415286,0.829380189,1.169209602,1.130833488,1.227103222,1.057680274,0.854632778,0.871126091,0.804073814,1.388674126,0.909754577,0.611392776,0.713475529,0.994764164,1.214648682,1.117208009,0.990137608,0.95610828,1.475438035,0.875546796,1.108732235,0.947047092,1.026617943,1.027855424,1.403210685,1.057454946,0.882915763,2.633405568,0.860063672,0.351015463,1.335351519,1.48615235,3.228875405,0.618958881,1.801227094,1.184784541,5.632374853,1,1,0.965470746,1.258897603,1,1,1.914099329,1,1.374090701,11,0.373437221,0.588188768,0.135661021,0.116438335,0.856185467,1,0.869205283,0.221848357,1.347593886,0.214198532,1.100889149,0.973590364,1.883529389,0.859760932,0.87099159,1.423491812,0.729472676
1.324296562,1.08103501,0.93871634,1.097711414,1.012068455,0.895399771,0.957950793,0.800541571,2.05158145,1,1,1,0.900441798,0.98225568,1.074248638,1.143752163,1.089214168,0.990553752,0.953020603,1.090684082,1.138468433,0.927880887,1.041544998,1.978731957,1,0.981437401,1,1,1.620313568,1.000534123,1,1,1,1,1,1,1.306501714,1.07586277,1.056724748,0.695446086,1.069355558,1.036667079,0.893624186,2.308311208,1.084151065,0.979508577,1.03838709,1.188545634,1.329697031,2.904933736,0.299523897,0.190952837,0.351627146,1.152142788,2.148036888,1,1,0.822196659,1,1,1,1,1.175035494,1,0.090909091,0.962418764,0.090909091,0.090909091,11,1,11,1,0.344523647,11,1,1,10.59843326,1,1,0.687614733,0.29318593,1.336662153,0.973555907,0.975837076,1.94561867,0.390346034,0.298198196,0.110683256,0.748666787,0.257870075,1.041285198,0.571123682,0.944011898,0.811295249,1.219092733,0.791038671,0.833827121,1.153813196,1.118015751,1.231756843,1.069336887,0.865944312,0.876147515,0.81219257,1.374898574,0.906727338,0.638864626,0.778931265,0.992141771,1.193372205,1.103097502,0.986138141,0.966982407,1.424832027,0.873752585,1.121868064,0.943540544,1.027305294,1.025873804,1.349254122,1.087143089,0.866475767,2.452758495,0.842405875,0.331196767,1.333445069,1.477528205,2.968816289,0.623910108,1.782906796,1.169971487,5.656330684,1,1,0.746089841,1.236361204,1,1,1.904226407,1,1.300566646,6.649339618,0.431846741,0.611492479,0.129379397,0.114833169,0.956119025,1,0.893916225,0.210891604,1.446612482,0.202448729,1.111794885,0.982143153,1.818542673,0.865983805,0.892336793,1.395279115,0.747073847
1.322466095,1.068826151,0.940864122,1.085453936,1.018327762,0.883751161,0.974796075,0.825127722,1.944727828,1.030204633,1.299514268,1,0.975745027,1.012324813,1.076155015,1.210767119,1.047690561,1.00578631,0.952733046,1.075423638,1.12459456,0.932711472,1.026404468,1.737891533,1,0.97697726,1,1,1.605304065,0.999123906,1,1,1,1,1,1,1.300553452,1.069408539,1.050447282,0.712843326,1.068085179,1.034741702,0.903222976,2.254779663,1.107351238,1.024929373,1.051185916,1.179811092,1.289092252,2.838160338,0.303654755,0.19098029,0.407993611,1.165716796,2.685013894,1,1,0.898989618,1,1,1,1,1.248306951,0.859768755,0.090909091,0.945482722,0.090909091,0.090909091,11,1,11,1,0.306859708,11,1,1,9.371090513,1,1,0.714254575,0.357290246,1.362286398,0.982763893,0.976380705,1.920132373,0.362686037,0.289430412,0.109764194,0.765423031,0.319241236,1.035823526,0.601805399,0.946732204,0.818472723,1.19493779,0.800786508,0.838303038,1.138513528,1.105569806,1.236442348,1.081071695,0.877281903,0.881058568,0.820141299,1.361001247,0.903683238,0.665839544,0.832526416,0.989515033,1.17177235,1.082537552,0.982134185,0.97820954,1.374525641,0.875868819,1.134854797,0.944613595,1.028009818,1.023944695,1.294562604,1.114598901,0.844033448,2.287734718,0.825251432,0.330460905,1.331544054,1.469003574,2.725475927,0.629088792,1.765449418,1.155536709,5.680649727,1,1,0.607947766,1.213479466,1,1,1.894353484,1,1.246893352,4.067802821,0.484502047,0.636718928,0.128033312,0.121040209,1.069530189,1,0.912591185,0.20966797,1.546487805,0.191920956,1.122467056,0.984110621,1.756993789,0.872227047,0.89690167,1.367185386,0.768776038
1.320674773,1.056654479,0.943006306,1.073281969,1.02432737,0.872632886,0.976047092,0.843151089,1.855812144,1.399784996,1.244576969,1,1.029748392,1.035649453,1.077529133,1.076578685,1.045867104,1.016687671,0.952452933,1.063464217,1.110981083,0.937453809,1.014690436,1.546249082,1.208716768,0.976816722,1,1,1.588451044,0.997703066,1,1,1,1,1.07763879,0.98661701,1.294571572,1.062864276,1.044133433,0.730213956,1.066844019,1.032786808,0.912894075,2.199852101,1.130443767,1.060582333,1.064073636,1.205037025,1.251189558,2.773981485,0.307901146,0.191007751,0.461454565,1.179749372,2.756565948,1.085323688,1,1.026536612,1,1,1.547040001,1,1.321578407,0.740947788,0.090909091,0.92854668,0.090909091,0.090909091,11,1,11,1,0.276619203,11,1,1,6.069211253,1,1,0.741042699,0.424043611,1.388912296,0.992045612,0.976924335,1.895305149,0.360726619,0.281163492,0.108860271,0.782463311,0.381456355,1.030601122,0.632244877,0.949752891,0.825500053,1.172962561,0.81067444,0.842818281,1.123385038,1.093524602,1.241136359,1.092833374,0.888485462,0.885835727,0.827934218,1.347024332,0.900616756,0.692300031,0.874534225,0.986902614,1.149927629,1.061264921,0.978134814,0.989807152,1.324516226,0.878012616,1.147694959,0.945706195,1.028732166,1.022161923,1.240219575,1.110966502,0.82237858,2.136391474,0.808579121,0.423927152,1.329648452,1.460576746,2.497292298,0.660283239,1.748795396,1.141465901,5.705340306,1,1,0.512969103,1.190244389,1,1,1.884480561,1,1.181563219,2.930187909,0.505616328,0.703068663,0.136408534,0.169016808,1.199342609,1,0.888345279,0.212799795,1.647231023,0.182433993,1.131515735,0.98436474,1.698632825,0.878469983,0.900464564,1.339209875,0.794966492
1.318841205,1.044594238,0.945153502,1.061260225,1.030049439,0.862031837,0.97263564,0.859643492,1.780568601,1.298763533,1.194571396,1.361590425,1.070130991,1.054135489,1.078452352,1.065435035,1.044471594,1.024677016,0.95216275,1.053797934,1.097647684,0.942095184,1.005323536,1.39007553,1.242694727,0.976660924,1.033243535,1,1.521796303,0.996293924,1.258150344,0.876384618,0.843226017,1.12440951,1.104477615,0.815626376,1.288577194,1.056241018,1.037787962,0.747507145,1.065645777,1.030782502,0.922676434,2.143473193,1.153429399,1.046341058,1.077051182,1.171248915,1.215727914,2.71224884,0.312267988,0.19103522,0.51222902,1.191259844,2.828118003,1.206071224,0.937867888,1.134800442,1,1,2.302911734,1,1.200027832,0.650981451,0.090909091,0.911610638,0.090909091,0.090909091,11,1,11,1,0.286148655,11,1,1,4.497355808,1,1,0.777167419,0.493613692,1.416599748,1.001401954,0.977467965,1.871111759,0.358788258,0.273355709,0.107971113,0.79979491,0.444532962,1.02558363,0.656732998,0.9552174,0.837077748,1.152924362,0.820726431,0.847390783,1.10853154,1.081943497,1.245797534,1.1045574,0.899512749,0.890456226,0.835577944,1.333049867,0.897548152,0.718194045,0.908260928,0.984415973,1.128023773,1.039306756,0.97704979,1.001790222,1.274902661,0.880184517,1.152208134,0.946818882,1.029473022,1.020687815,1.188302279,1.107161502,0.801470434,1.997095287,0.792368899,0.508367784,1.327758239,1.452246045,2.282892091,0.689555649,1.732890522,1.127745466,5.730411001,1,1,0.521230576,1.166647726,1,1,1.874607638,1,1.021032836,2.356266904,0.526730608,1.120776144,0.145956168,0.293104184,1.287417643,1,0.86562448,0.348600889,1.696548983,0.207866848,1.137642806,0.984565988,1.643272914,0.884676424,0.904028453,1.311351836,0.821014547
1.316839581,1.032716906,0.947327058,1.049432697,1.035474018,0.867290741,0.969195711,0.874913706,1.71593747,1.18677568,1.11605351,1.552492946,1.101134883,1.06897202,1.078947062,1.065087964,1.043320515,1.030539861,0.951836929,1.045770678,1.084588626,0.946589577,0.99761581,1.260426362,1.234161305,0.976518045,1.271304307,1.049925057,1.454727283,0.994920669,1.366794723,0.896610563,0.858995038,1.408566329,1.080571791,0.827136138,1.281808541,1.049557816,1.031425704,0.764647403,1.064483969,1.02872696,0.932627324,2.085584644,1.176308876,0.967770792,1.090119496,1.137274109,1.182478859,2.652825161,0.316760478,0.191062697,0.560514512,1.174023212,2.838409162,1.326818761,0.629602601,1.227846756,1,1,3.058783467,1,1.034869003,0.614404222,0.090909091,0.894674596,0.090909091,0.090909091,11,1,11,1,0.302643837,11,1,1,3.578108565,1,1,0.816308316,0.566182613,1.445413532,1.010833822,0.978011594,1.833837628,0.356870618,0.265969846,0.179428209,0.817425362,0.508489076,1.020764849,0.680779905,0.960537298,0.848625171,1.134659228,0.830950003,0.85203844,1.094017942,1.070896414,1.250347751,1.11615746,0.910303901,0.89490298,0.843036565,1.319155192,0.894508297,0.743438252,0.935769032,0.982172574,1.106500784,1.016689576,0.977359851,1.014155291,1.226200491,0.882380932,1.136018092,0.947935039,1.030220282,1.019676534,1.140700372,1.103070538,0.781569299,1.868459448,0.777184988,0.584455698,1.30046865,1.434928247,2.054914426,0.717745885,1.718268382,1.114706081,5.755870657,1,1,0.616994784,1.142680969,1,1,1.864734715,1,0.899490129,1.966581877,0.548496445,1.426988983,0.156923509,0.442359742,1.37974896,1.456039132,0.844613167,0.482176654,1.71132942,0.298885111,1.140671861,0.98470022,1.590812336,0.890820457,0.907547346,1.283621067,0.83822167
1.314535355,1.021087543,0.949540436,1.037841468,1.040567419,0.878152668,0.965715368,0.89819321,1.659689386,1.139614062,1.10163487,1.461371639,1.125306175,1.080953138,1.079024473,1.064779983,1.042302803,1.034745851,0.951428802,1.038935421,1.071759828,0.950863034,0.991104978,1.212034574,1.227900883,0.976399439,1.356945147,1.248703925,1.388995622,0.993617502,1.233601692,0.909754226,0.869777331,1.277347889,1.064202503,0.835252558,1.267625338,1.042820068,1.02506019,0.781574685,1.063354052,1.026623558,0.94280854,2.026124997,1.19908293,0.901976102,1.103279532,1.103111055,1.169744057,2.595583283,0.321384119,0.288901178,0.606489677,1.156173197,2.349183346,1.447566298,0.480830605,1.308673323,1,1,3.814655199,1,1.038682195,0.813440642,0.090909091,0.877738554,0.090909091,0.090909091,11,1,11,1,0.321157099,8.268062436,1,0.732484677,2.97490867,1,1,0.856836774,0.641948544,1.475423803,1.020342134,0.978555224,1.775154439,0.354973368,0.258972604,0.251901,0.835362466,0.560525224,1.011296236,0.704487155,0.965661008,0.856292866,1.11804219,0.841315552,0.85677425,1.079871117,1.060442796,1.254681645,1.127529401,0.920804543,0.899176723,0.850244969,1.305408262,0.891532011,0.767933226,0.958441632,0.980256697,1.086139574,0.993578327,0.977838191,1.026866752,1.17900286,0.88457945,1.119743757,0.948966949,1.030906575,1.019262383,1.098585778,1.098198028,0.764139262,1.749475234,0.766367955,0.649789092,1.228108261,1.328414847,1.808582416,0.748463416,1.708167379,1.061592414,5.781728398,1,1,0.692385553,1.118335344,1,1,1.854861792,1,0.814442045,1.654955293,0.573536409,1.740586982,0.169548477,0.618923655,1.47870912,2.253455473,0.826747654,0.610088971,1.721992244,0.381324361,1.141016552,0.984752509,1.541145801,0.896886329,0.91097791,1.256067791,0.850098932
1.311801891,1.00977289,0.951786392,1.026527318,1.045279586,0.889249893,0.96220479,0.91991083,1.610161684,1.12461373,1.089693244,1.403617459,1.144274699,1.090624073,1.078696375,1.064483366,1.041346554,1.037594648,0.950875723,1.032975467,1.059107801,0.954822488,0.985465221,1.184163775,1.222986028,0.976319782,1.346542159,1.277897446,1.326196862,0.992446885,1.168407683,0.918963078,0.877537126,1.197200147,1.052196131,0.841190499,1.253362536,1.036018099,1.018695418,0.798245835,1.062271654,1.024482098,0.953267603,1.965029413,1.22175229,0.846075295,1.11653226,1.068758184,1.161220294,2.540405213,0.326144738,0.392602569,0.650316455,1.137676463,2.017760236,1.568313835,0.438222544,1.379539037,1,1,4.570526932,1,1.047666621,0.977048197,0.090909091,0.860802512,0.090909091,0.090909091,9.348743937,2.333691656,5.192936722,1,0.342082919,4.73676709,1,1.113996909,2.54867422,1,1,0.898827911,0.721127507,1.462470356,1.029927824,0.979098854,1.70404944,0.353096183,0.252334097,0.32321821,0.853614292,0.610692666,1.004919695,0.727775389,0.970542103,0.863010622,1.093163394,0.85174805,0.861597289,1.066084858,1.050617699,1.258686008,1.13854579,0.930974541,0.903290186,0.857119368,1.29186523,0.888649996,0.791575589,0.977233873,0.978691062,1.067759885,0.970306415,0.974115642,1.039803844,1.133725342,0.886745612,1.103117141,0.949798774,1.031431018,1.019521705,1.062901755,1.09214275,0.751043216,1.639857214,0.76513839,0.700116792,1.158789496,1.202875717,1.570290313,0.786145259,1.707825421,1.007415604,5.807993633,1,1,0.753279334,1.093601794,0.905583136,1,1.844988869,0.875296462,0.748581953,1.412361582,0.602303375,2.032818626,0.197916698,0.821395728,1.572590076,3.050871814,0.813578093,0.728208598,1.724165945,0.455627758,1.139487239,0.984695595,1.494186081,0.902859088,0.914278679,1.228743694,0.861537357
1.308527754,0.998833833,0.954039365,1.015533723,1.049540536,0.900579067,0.958694538,0.940066769,1.564927872,1.112108409,1.079547981,1.363294664,1.159126989,1.098368307,1.077966146,1.064177375,1.040401813,1.039286584,0.950111006,1.027658041,1.046581007,0.958387126,0.98046073,1.157769492,1.218890942,0.97629737,1.337583347,1.266525952,1.267216665,0.991477664,1.147129873,0.925766285,0.883327525,1.171498885,1.043006364,0.845651697,1.239030977,1.029130853,1.012315782,0.814609676,1.061255671,1.022321528,0.964026231,1.902229435,1.244317674,0.83366837,1.129878664,1.034213911,1.152885069,2.487181312,0.331048515,0.496333803,0.692141996,1.118497215,1.833608391,1.689061372,0.4025511,1.442178348,1,1,4.855710893,1,1.056007893,1.113913388,0.092811372,0.843877853,0.123605206,0.09293599,7.598097717,4.104510813,2.774438651,1,0.365925757,4.253292351,1,1.883646842,2.231490898,1,1,0.913300062,0.74917062,1.430135263,1.03959184,0.979642483,1.627366168,0.351238749,0.246027427,0.393407257,0.872189196,0.661574558,0.998707239,0.750553476,0.97513376,0.869847835,1.067322408,0.862127031,0.866493072,1.052619394,1.041427917,1.262253355,1.149070192,0.940786446,0.907259973,0.863565333,1.278575697,0.885878517,0.814270582,0.99282067,0.977443244,1.052047384,0.94722264,0.969189188,1.0526745,1.091033903,0.888837726,1.085962622,0.950295421,1.031655715,1.020468901,1.034397934,1.08488535,0.744236257,1.539005422,0.776506975,0.738014342,1.095046921,1.077315024,1.309257356,0.833140572,1.705893666,0.961110922,5.834676072,1,1,0.803490828,1.068470974,0.628834333,1,1.835115947,0.712891295,0.702026901,1.229153974,0.633936552,2.26552053,0.247337756,1.042552035,1.643436163,3.848288155,0.806490232,0.832456525,1.713482206,0.522249709,1.137402014,0.984505057,1.449875623,0.908723688,0.91740938,1.201700129,0.872445805
1.304609049,0.988334637,0.956259759,1.004906851,1.053562588,0.912121877,0.955230401,0.958696536,1.537815112,1.101401188,1.070720351,1.333105969,1.170610729,1.104463787,1.076826973,1.063846855,1.03943051,1.039963072,0.949070944,1.02280813,1.034138225,0.961475288,0.975925013,1.132876405,1.215289867,0.976354367,1.329480578,1.278981218,1.212699591,0.990758101,1.129293983,0.930998801,0.887771746,1.149841645,1.035769162,0.849078349,1.224662246,1.022125732,1.005896206,0.830622025,1.06033348,1.020161146,0.975081569,1.837652731,1.282935809,0.839771764,1.135802821,0.999476629,1.132571883,2.435809576,0.336102005,0.600094895,0.732100313,1.098596967,1.778829251,1.621851758,0.372249853,1.49794511,1.825925228,1.979507065,4.949451378,1.356216524,1.063772684,1.230097571,0.097384864,0.859382872,0.177626816,0.118946216,2.671707941,4.694996605,1.785785241,1,0.393341249,3.762254997,0.748856362,2.799234468,1.986254488,1,1,0.926697604,0.778228575,1.387415764,1.049335146,0.980186113,1.552523152,0.349400754,0.240028319,0.462494702,0.891095833,0.72605123,0.992648477,0.772720294,0.979388173,0.876787253,1.043541684,0.87230528,0.871434681,1.03941674,1.032852853,1.265291147,1.158979997,0.950228375,0.911108789,0.869490981,1.2655837,0.883211651,0.835941035,1.0056483,0.976440724,1.039746817,0.924651717,0.964364281,1.065065689,1.052733228,0.890767867,1.068146675,0.950319229,1.031422046,1.022075073,1.013394944,1.076788946,0.745706253,1.44102637,0.800196943,0.771971481,1.04122194,0.956470056,1.042739754,0.887862902,1.690232036,0.931658318,5.861785734,1,1,0.845604274,1.042933234,0.481642886,1,1.825243024,0.601320467,0.675145576,1.098645087,0.669415134,2.396886505,0.312690882,1.265014706,1.66846557,3.880427197,0.806814437,0.918830235,1.685717702,0.58162959,1.136046,0.984153948,1.408179349,0.914469285,0.920342967,1.175031434,0.882761318
